"current_seed","Nsamp","nullpi","poisthin","auc_ols","auc_biash_ols","auc_biash_voom","auc_ols_ash","auc_succotash","auc_cate_rr","auc_sva_ols","auc_ruvash","auc_cate_nc","auc_ruv2","auc_ruv4"
1,5,0.5,TRUE,0.75548,0.786272,0.829776,0.786128,0.841712,0.807312,0.794692,0.840648,0.811792,0.781464,0.780884
2,5,0.5,TRUE,0.708192,0.733944,0.827672,0.731688,0.8402,0.805472,0.794352,0.839416,0.80234,0.795268,0.79056
3,5,0.5,TRUE,0.727648,0.76908,0.775224,0.768752,0.772912,0.763536,0.766392,0.774328,0.768408,0.769224,0.769144
4,5,0.5,TRUE,0.754096,0.774896,0.82,0.771768,0.848968,0.799472,0.787048,0.850976,0.808092,0.794572,0.79784
5,5,0.5,TRUE,0.719984,0.740216,0.78036,0.733984,0.768568,0.746568,0.737744,0.755816,0.746608,0.730168,0.746668
6,5,0.5,TRUE,0.635,0.783952,0.794096,0.782976,0.801992,0.79244,0.789284,0.79404,0.777096,0.785576,0.79106
7,5,0.5,TRUE,0.771032,0.808544,0.867968,0.801008,0.834408,0.796928,0.798792,0.823232,0.805984,0.785744,0.802956
8,5,0.5,TRUE,0.757248,0.785168,0.761024,0.785152,0.757408,0.707016,0.701892,0.77304,0.725888,0.727904,0.715268
9,5,0.5,TRUE,0.748744,0.798952,0.811392,0.79888,0.817056,0.785708,0.777324,0.812744,0.78122,0.772728,0.785312
10,5,0.5,TRUE,0.669,0.843368,0.866992,0.84064,0.876184,0.840344,0.839368,0.873408,0.85378,0.836416,0.833456
11,5,0.5,TRUE,0.733584,0.805104,0.805088,0.80464,0.810336,0.776228,0.75992,0.807544,0.774644,0.776632,0.77416
12,5,0.5,TRUE,0.726192,0.74296,0.770112,0.742848,0.811432,0.796132,0.79558,0.808936,0.799584,0.777592,0.793872
13,5,0.5,TRUE,0.737524,0.80928,0.817592,0.809104,0.827168,0.77804,0.780808,0.820712,0.794136,0.785144,0.783528
14,5,0.5,TRUE,0.744672,0.760056,0.834952,0.747824,0.841296,0.82252,0.789744,0.823096,0.83434,0.798616,0.820932
15,5,0.5,TRUE,0.727948,0.734304,0.749368,0.734224,0.81708,0.79824,0.787696,0.806744,0.800692,0.79768,0.799328
16,5,0.5,TRUE,0.74284,0.76444,0.778912,0.762136,0.805664,0.786588,0.779892,0.802952,0.78776,0.777224,0.785804
17,5,0.5,TRUE,0.691568,0.709616,0.71936,0.704072,0.740224,0.682368,0.70964,0.737296,0.7056,0.695228,0.703636
18,5,0.5,TRUE,0.656488,0.678464,0.825656,0.65688,0.83352,0.803544,0.805544,0.827384,0.811148,0.803636,0.804768
19,5,0.5,TRUE,0.64264,0.65484,0.64028,0.651656,0.722768,0.691132,0.645668,0.716984,0.693776,0.7088,0.685068
20,5,0.5,TRUE,0.684408,0.799416,0.845376,0.798832,0.847096,0.818856,0.813768,0.841048,0.821016,0.818544,0.821884
21,5,0.5,TRUE,0.679972,0.818712,0.81304,0.816328,0.823,0.797084,0.791048,0.812136,0.822092,0.806872,0.809504
22,5,0.5,TRUE,0.74224,0.764152,0.795936,0.763592,0.812376,0.786308,0.768124,0.804432,0.779276,0.762568,0.778212
23,5,0.5,TRUE,0.727208,0.741472,0.812752,0.734504,0.822368,0.797196,0.797124,0.820776,0.798252,0.800376,0.798736
24,5,0.5,TRUE,0.689892,0.710304,0.751016,0.706448,0.83652,0.82648,0.796656,0.835064,0.825364,0.710896,0.825928
25,5,0.5,TRUE,0.773776,0.800224,0.82736,0.799968,0.852688,0.817832,0.772232,0.849424,0.83266,0.81196,0.831424
26,5,0.5,TRUE,0.745076,0.775432,0.774232,0.775192,0.788576,0.76888,0.771168,0.7922,0.774852,0.760808,0.76596
27,5,0.5,TRUE,0.7451,0.769768,0.779904,0.76864,0.855376,0.822468,0.785408,0.850712,0.823416,0.777704,0.805736
28,5,0.5,TRUE,0.750428,0.773408,0.772984,0.773888,0.81612,0.777396,0.780936,0.81256,0.779924,0.788456,0.779128
29,5,0.5,TRUE,0.702144,0.741728,0.840792,0.720848,0.823992,0.775688,0.774912,0.822624,0.787616,0.788144,0.783248
30,5,0.5,TRUE,0.729492,0.815072,0.818184,0.814208,0.833952,0.808516,0.805044,0.830352,0.820516,0.797028,0.789816
31,5,0.5,TRUE,0.770188,0.780104,0.781824,0.779832,0.807248,0.801488,0.792628,0.800304,0.800164,0.796504,0.800456
32,5,0.5,TRUE,0.643752,0.800472,0.817008,0.797872,0.829176,0.799848,0.801368,0.827152,0.792096,0.801384,0.799032
33,5,0.5,TRUE,0.70936,0.76152,0.771208,0.75064,0.77144,0.692856,0.704296,0.76324,0.70624,0.689552,0.697236
34,5,0.5,TRUE,0.704932,0.716264,0.715592,0.716384,0.76248,0.74124,0.743768,0.766728,0.741208,0.72982,0.738368
35,5,0.5,TRUE,0.763196,0.78248,0.842384,0.781744,0.838192,0.81234,0.802672,0.836464,0.816872,0.816728,0.813288
36,5,0.5,TRUE,0.76214,0.763136,0.771184,0.761088,0.795584,0.792596,0.791272,0.783768,0.789628,0.786712,0.79298
37,5,0.5,TRUE,0.758656,0.792432,0.79644,0.791424,0.841792,0.827832,0.817184,0.8402,0.826656,0.81808,0.820288
38,5,0.5,TRUE,0.690504,0.70064,0.75292,0.697088,0.802808,0.757376,0.769312,0.795352,0.772388,0.772552,0.766448
39,5,0.5,TRUE,0.74876,0.769864,0.79652,0.768112,0.775984,0.747588,0.744576,0.773008,0.76232,0.761192,0.759552
40,5,0.5,TRUE,0.63956,0.676152,0.785184,0.655608,0.75708,0.6986,0.671792,0.755072,0.721944,0.724384,0.712496
41,5,0.5,TRUE,0.735832,0.762848,0.773392,0.761296,0.807752,0.77774,0.771768,0.808952,0.780068,0.775128,0.778016
42,5,0.5,TRUE,0.624456,0.631808,0.809552,0.614456,0.793328,0.777552,0.727568,0.787936,0.79126,0.78936,0.790376
43,5,0.5,TRUE,0.75152,0.765376,0.773416,0.763776,0.790544,0.774632,0.77504,0.782544,0.772116,0.778384,0.775424
44,5,0.5,TRUE,0.684088,0.770632,0.7804,0.766552,0.773608,0.747788,0.746744,0.767944,0.74982,0.727556,0.737972
